,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-02 14:19:00,140,23.7,26.272,585.2,749.2,0.0047641630241641395,1
2015-02-02 14:19:59,141,23.718000000000004,26.29,578.4,760.4,0.00477266099212519,1
2015-02-02 14:21:00,142,23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1
2015-02-02 14:22:00,143,23.7225,26.125,493.75,774.75,0.00474377335599685,1
2015-02-02 14:23:00,144,23.754,26.2,488.6,779.0,0.00476659399998615,1
2015-02-02 14:23:59,145,23.76,26.26,568.666666666667,790.0,0.00477933243163454,1
2015-02-02 14:25:00,146,23.73,26.29,536.333333333333,798.0,0.004776136332748921,1
2015-02-02 14:25:59,147,23.754,26.29,509.0,797.0,0.00478309370839038,1
2015-02-02 14:26:59,148,23.754,26.35,476.0,803.2,0.0047940939966204105,1
2015-02-02 14:28:00,149,23.736,26.39,510.0,809.0,0.00479618871038935,1
2015-02-02 14:29:00,150,23.745,26.445,481.5,815.25,0.00480888622067716,1
2015-02-02 14:30:00,151,23.7,26.56,481.8,824.0,0.0048167933677358,1
2015-02-02 14:31:00,152,23.7,26.6,475.25,832.0,0.0048241038367487395,1
2015-02-02 14:31:59,153,23.7,26.7,469.0,845.333333333333,0.004842380755335629,1
2015-02-02 14:32:59,154,23.7,26.774,464.0,852.4,0.00485590636128976,1
2015-02-02 14:34:00,155,23.7,26.89,464.0,861.0,0.00487710983719076,1
2015-02-02 14:35:00,156,23.7,26.9725,455.0,880.0,0.004892190768364,1
2015-02-02 14:36:00,157,23.6,26.89,454.0,891.0,0.00484759441396992,1
2015-02-02 14:37:00,158,23.64,26.976,458.0,897.6,0.0048750447811301,1
2015-02-02 14:38:00,159,23.65,27.05,464.0,900.5,0.004891491589296229,1
2015-02-02 14:38:59,160,23.64,27.1,473.0,908.8,0.004897630243458229,1
2015-02-02 14:39:59,161,23.6,27.16,464.0,918.0,0.00489665184522539,1
2015-02-02 14:41:00,162,23.6,27.236,498.4,925.2,0.00491046198855591,1
2015-02-02 14:42:00,163,23.6,27.29,530.2,929.4,0.0049202748285747,1
2015-02-02 14:43:00,164,23.6,27.33,533.6,936.4,0.00492754379701558,1
2015-02-02 14:44:00,165,23.6,27.34,524.25,950.0,0.0049293610654639,1
2015-02-02 14:44:59,166,23.625,27.3925,498.666666666667,961.0,0.00494640574744149,1
2015-02-02 14:45:59,167,23.6,27.39,516.333333333333,963.0,0.00493844756573873,1
2015-02-02 14:47:00,168,23.6,27.412,501.2,958.6,0.00494244570930318,1
2015-02-02 14:48:00,169,23.6,27.5,522.0,965.333333333333,0.00495843879351724,1
2015-02-02 14:49:00,170,23.6,27.525,520.5,979.25,0.00496298243218165,1
2015-02-02 14:50:00,171,23.6,27.6,505.28571428571405,978.428571428571,0.0049766137433226295,1
2015-02-02 14:51:00,172,23.6,27.6,488.333333333333,983.0,0.0049766137433226295,1
2015-02-02 14:51:59,173,23.6,27.54,512.0,992.6,0.00496570864699156,1
2015-02-02 14:53:00,174,23.6,27.6,511.0,997.2,0.0049766137433226295,1
2015-02-02 14:54:00,175,23.6166666666667,27.6333333333333,501.5,999.5,0.00498771842139186,1
2015-02-02 14:55:00,176,23.6666666666667,27.7,503.666666666667,1001.0,0.00501505086095386,1
2015-02-02 14:55:59,177,23.6,27.7,483.166666666667,1009.5,0.00499478974690881,1
2015-02-02 14:57:00,178,23.6,27.7225,483.5,1019.0,0.0049988794929492295,1
2015-02-02 14:57:59,179,23.6,27.79,473.0,1021.0,0.00501114905119468,1
2015-02-02 14:58:59,180,23.6,27.856666666666698,470.333333333333,1024.66666666667,0.00502326760476436,1
2015-02-02 15:00:00,181,23.6,27.804285714285697,480.142857142857,1030.42857142857,0.00501374584466786,1
2015-02-02 15:01:00,182,23.575,27.79,464.0,1026.25,0.0050035447484533604,1
2015-02-02 15:02:00,183,23.54,27.81,474.4,1028.0,0.00499653801060323,1
2015-02-02 15:03:00,184,23.6,27.978,470.0,1034.8,0.00504532457442066,1
2015-02-02 15:04:00,185,23.525,28.0,454.0,1055.5,0.00502636675819462,1
2015-02-02 15:04:59,186,23.5,27.978,454.0,1055.25,0.0050147597241768,1
2015-02-02 15:06:00,187,23.5,28.0,454.0,1050.0,0.00501873480786954,1
2015-02-02 15:07:00,188,23.5,28.0,454.0,1051.25,0.00501873480786954,1
2015-02-02 15:08:00,189,23.5,28.0,445.0,1053.6,0.00501873480786954,1
2015-02-02 15:08:59,190,23.5,28.0,439.0,1055.5,0.00501873480786954,1
2015-02-02 15:10:00,191,23.5,28.025,444.25,1055.0,0.00502325200960961,1
2015-02-02 15:10:59,192,23.445,28.125,454.75,1059.5,0.00502449114747957,1
2015-02-02 15:11:59,193,23.39,28.18,455.8,1060.0,0.005017582274385229,1
2015-02-02 15:13:00,194,23.39,28.2,451.6,1073.6,0.005021172116350729,1
2015-02-02 15:14:00,195,23.39,28.2,451.6,1078.6,0.005021172116350729,1
2015-02-02 15:15:00,196,23.39,28.2,454.75,1081.0,0.005021172116350729,1
2015-02-02 15:16:00,197,23.39,28.2225,454.75,1082.0,0.00502521073769626,1
2015-02-02 15:16:59,198,23.39,28.373333333333303,457.5,1088.83333333333,0.00505228580200481,1
2015-02-02 15:17:59,199,23.37,28.39,464.0,1090.6,0.005049129542326371,1
2015-02-02 15:19:00,200,23.39,28.323333333333302,464.0,1086.0,0.005043310383489479,1
2015-02-02 15:20:00,201,23.373333333333303,28.445,464.0,1092.5,0.00506001703431877,1
2015-02-02 15:21:00,202,23.39,28.5,471.5,1103.75,0.005075024678928171,1
2015-02-02 15:22:00,203,23.323333333333302,28.5,475.666666666667,1104.5,0.0050544759894773,1
2015-02-02 15:23:00,204,23.365,28.5,471.5,1103.5,0.00506731029811295,1
